b3339	b0170
b3980	b4143
b3980	b0170
b1610	b4052
b3669	b3668
b3668	b3669
b4191	b4143
b1184	b1183
b1183	b2699
b1183	b1184
b2498	b4143
b2319	b3982
b2319	b3988
b0607	b0015
b0607	b0014
b0607	b4143
b0607	b0119
b4058	b0779
b4058	b3813
b0779	b4058
b0779	b1913
b0779	b3813
b1913	b0779
b3813	b4170
b3813	b2733
b3813	b4058
b3813	b0779
b1914	b2786
b1960	b4170
b2062	b2060
b2060	b2062
b3811	b2894
b2894	b3811
b0119	b3310
b0119	b3342
b0119	b0607
b0407	b0462
b0444	b0014
b0490	b4143
b0742	b0739
b0865	b3860
b0877	b3317
b0948	b3984
b1018	b3860
b1055	b0014
b1194	b4143
b1435	b4203
b1625	b1237
b1625	b2669
b1741	b4143
b1928	b3860
b1968	b1969
b1969	b1968
b2125	b2126
b2126	b2125
b2517	b3984
b2517	b3317
b2517	b3320
b2517	b3296
b2554	b2556
b2524	b2530
b2556	b2554
b2579	b0903
b2581	b3317
b2581	b3296
b2768	b0014
b2811	b2810
b2912	b4143
b3158	b4143
b3180	b3317
b3470	b2530
b3499	b4143
b3594	b0014
b3614	b3860
b3697	b0014
b3705	b0093
b3812	b4143
b3866	b3317
b4377	b4143
b4520	b0084
b4520	b0083
b4520	b3933
b4520	b0093
b1973	b3860
b3195	b4143
b2910	b0094
b2910	b0095
b2412	b0094
b2412	b0083
b2412	b0095
b1857	b3860
b1858	b4143
b1858	b3319
b4004	b4003
b4003	b4004
